 Location:  0N 165E  13 Dec 1986 to 19 Oct 2020 ( 2472 times, 11 blocks) Gen. Date Apr 20 2021
 Units: Sea Surface Temperature (C), -9.99 = missing
YYYY_MM_DD HHMM SST Q
1999_06_06 1200 28.49 1
1999_06_11 1200 28.83 1
1999_06_16 1200 28.71 1
1999_06_21 1200 28.9 1
1999_06_26 1200 28.9 1
1999_07_01 1200 28.94 1
1999_07_06 1200 28.99 1
1999_07_11 1200 28.74 1
1999_07_16 1200 28.91 1
1999_07_21 1200 28.89 1
1999_07_26 1200 29.06 1
1999_07_31 1200 29.03 1
1999_08_05 1200 29.05 1
1999_08_10 1200 29.06 1
1999_08_15 1200 29.03 1
1999_08_20 1200 28.99 1
1999_08_25 1200 28.54 1
1999_08_30 1200 28.32 1
1999_09_04 1200 28.6 1
1999_09_09 1200 28.33 1
1999_09_14 1200 28.22 1
1999_09_19 1200 28.45 1
1999_09_24 1200 28.49 1
1999_09_29 1200 28.37 1
1999_10_04 1200 28.59 1
1999_10_09 1200 28.38 1
1999_10_14 1200 28.55 1
1999_10_19 1200 28.49 1
2000_07_26 1200 29.41 1
2000_07_31 1200 29.47 1
2000_08_05 1200 29.58 1
2000_08_10 1200 29.47 1
2000_08_15 1200 29.26 1
2000_08_20 1200 29.2 1
2000_08_25 1200 29.06 1
2000_08_30 1200 29.47 1
2000_09_04 1200 29.45 1
2000_09_09 1200 29.61 1
2000_09_14 1200 30.12 1
2000_09_19 1200 29.92 1
2000_09_24 1200 29.6 1
2000_09_29 1200 29.54 1
2000_10_04 1200 29.18 1
2000_10_09 1200 29.21 1
2000_10_14 1200 29.11 1
2000_10_19 1200 29.04 1
2000_10_24 1200 29.34 1
2000_10_29 1200 29.09 1
2000_11_03 1200 29.37 1
2000_11_08 1200 28.78 1
2000_11_13 1200 29.06 1
2000_11_18 1200 28.84 1
2000_11_23 1200 29.28 2
2000_11_28 1200 28.99 2
2000_12_03 1200 28.62 2
2000_12_08 1200 28.71 2
2000_12_13 1200 29.22 2
2000_12_18 1200 28.85 2
2000_12_23 1200 29.07 2
2000_12_28 1200 29.26 2
2001_01_02 1200 29.24 2
2001_01_07 1200 29.37 2
2001_01_12 1200 28.9 2
2001_01_17 1200 29.02 2
2001_01_22 1200 28.69 2
2001_01_27 1200 28.38 2
2001_02_01 1200 28.45 2
2001_02_06 1200 28.25 2
2001_02_11 1200 28.11 2
2001_02_16 1200 27.92 2
2001_02_21 1200 27.78 2
2001_02_26 1200 28.24 2
2001_03_03 1200 28.28 2
2001_03_08 1200 28.43 2
2001_03_13 1200 28.38 2
2001_03_18 1200 28.48 2
2001_03_23 1200 28.65 2
2001_03_28 1200 28.68 2
2001_04_02 1200 28.81 2
2001_07_11 1200 29.63 1
2001_07_16 1200 29.96 1
2001_07_21 1200 29.81 1
2001_07_26 1200 29.73 1
2001_07_31 1200 29.69 1
2001_08_05 1200 29.7 1
2001_08_10 1200 29.68 1
2001_08_15 1200 29.65 1
2001_08_20 1200 29.52 1
2001_08_25 1200 29.64 1
2001_08_30 1200 30.06 1
2001_09_04 1200 30.09 1
2001_09_09 1200 30.09 1
2001_09_14 1200 30.35 1
2001_09_19 1200 30.43 1
2001_09_24 1200 30.4 1
2001_09_29 1200 30.34 1
2001_10_04 1200 30.35 1
2001_10_09 1200 30.32 1
2001_10_14 1200 30.19 1
2001_10_19 1200 30.24 1
2001_10_24 1200 30.16 1
2001_10_29 1200 30.07 1
2001_11_03 1200 30.06 1
2001_11_08 1200 30.42 1
2001_11_13 1200 30.54 1
2001_11_18 1200 30.15 1
2001_11_23 1200 30.42 1
2001_11_28 1200 30.25 1
2001_12_03 1200 29.99 1
2001_12_08 1200 29.96 1
2001_12_13 1200 30.05 1
2001_12_18 1200 29.83 1
2001_12_23 1200 29.73 1
2001_12_28 1200 29.84 1
2002_01_02 1200 29.66 1
2002_01_07 1200 29.48 1
2002_01_12 1200 29.97 1
2002_01_17 1200 30.04 1
2002_01_22 1200 29.72 1
2002_01_27 1200 29.6 1
2002_02_01 1200 29.56 1
2002_02_06 1200 29.86 1
2002_02_11 1200 30.04 1
2002_02_16 1200 29.63 1
2002_02_21 1200 29.86 1
2002_02_26 1200 29.73 1
2002_03_03 1200 29.51 1
2002_03_08 1200 29.66 1
2002_03_13 1200 29.68 1
2002_03_18 1200 29.8 1
2002_03_23 1200 29.79 1
2002_03_28 1200 29.74 1
2002_04_02 1200 29.78 1
2002_04_07 1200 29.85 1
2002_04_12 1200 29.76 1
2002_04_17 1200 29.6 1
2002_04_22 1200 30.06 1
2002_04_27 1200 30.25 1
2002_05_02 1200 30.29 1
2002_05_07 1200 30.29 1
2002_05_12 1200 30.16 1
2002_05_17 1200 30.03 1
2002_05_22 1200 29.95 1
2002_05_27 1200 30.2 1
2002_06_01 1200 30.2 1
2002_06_06 1200 30.06 1
2002_06_11 1200 30.02 1
2002_06_16 1200 29.99 1
2002_06_21 1200 29.85 1
2002_06_26 1200 29.82 1
2002_07_01 1200 29.61 1
2002_07_06 1200 29.38 1
2002_07_11 1200 29.72 2
2002_07_16 1200 29.78 2
2002_07_21 1200 29.4 2
2002_07_26 1200 29.31 2
2002_07_31 1200 29.15 2
2002_08_05 1200 29.36 2
2002_08_10 1200 29.24 2
2002_08_15 1200 29.3 2
2002_08_20 1200 29.28 2
2002_08_25 1200 29.64 2
2002_08_30 1200 29.43 2
2002_09_04 1200 29.26 2
2002_09_09 1200 29.17 2
2002_09_14 1200 29.34 2
2002_09_19 1200 29.41 2
2002_09_24 1200 29.26 2
2002_09_29 1200 29.23 2
2002_10_04 1200 29.1 2
2002_10_09 1200 28.95 2
2002_10_14 1200 28.76 2
2002_10_19 1200 29.33 2
2002_10_24 1200 29.45 2
2002_10_29 1200 29.38 2
2002_11_03 1200 29.72 2
2002_11_08 1200 30.05 2
2002_11_13 1200 30.31 2
2002_11_18 1200 30.07 2
2002_11_23 1200 30.03 2
2002_11_28 1200 29.61 2
2002_12_03 1200 29.2 2
2002_12_08 1200 29.28 2
2002_12_13 1200 29.22 2
2002_12_18 1200 29.44 2
2002_12_23 1200 29.62 2
2002_12_28 1200 29.71 2
2003_07_16 1200 30.05 1
2003_07_21 1200 30.09 1
2003_07_26 1200 30.29 1
2003_07_31 1200 30.28 1
2003_08_05 1200 30.17 1
2003_08_10 1200 30.23 1
2003_08_15 1200 30.37 1
2003_08_20 1200 30.39 1
2003_08_25 1200 30.48 1
2003_08_30 1200 30.55 1
2003_09_04 1200 30.4 1
2003_09_09 1200 30.35 1
2003_09_14 1200 30.38 1
2003_09_19 1200 30.47 1
2003_09_24 1200 30.59 1
2003_09_29 1200 30.57 1
2003_10_04 1200 30.33 1
2003_10_09 1200 30.28 1
2003_10_14 1200 30.25 1
2003_10_19 1200 30.28 1
2003_10_24 1200 30.26 1
2003_10_29 1200 30.14 1
2003_11_03 1200 30.17 1
2003_11_08 1200 30.54 1
2003_11_13 1200 30.9 1
2003_11_18 1200 30.59 1
2003_11_23 1200 30.36 1
2003_11_28 1200 30.46 1
2003_12_03 1200 30.26 1
2003_12_08 1200 30.56 1
2003_12_13 1200 30.69 1
2003_12_18 1200 30.32 1
2003_12_23 1200 30.41 1
2003_12_28 1200 30.56 1
2004_01_02 1200 30.12 1
2004_01_07 1200 30.14 1
2004_01_12 1200 30.18 1
2004_01_17 1200 30.04 1
2004_01_22 1200 30.05 1
2004_01_27 1200 30.11 1
2004_02_01 1200 30.23 1
2004_02_06 1200 29.97 1
2004_02_11 1200 30.15 1
2004_02_16 1200 30.22 1
2004_02_21 1200 30.32 1
2004_02_26 1200 30.02 1
2004_03_03 1200 29.97 1
2004_03_08 1200 29.62 1
2004_03_13 1200 29.49 1
2004_03_18 1200 29.15 1
2004_03_23 1200 29.01 1
2004_03_28 1200 28.95 1
2004_04_02 1200 29.46 1
2004_04_07 1200 29.59 1
2004_04_12 1200 29.62 1
2004_04_17 1200 29.78 1
2004_04_22 1200 29.87 1
2004_04_27 1200 29.85 1
2004_05_02 1200 29.99 1
2004_05_07 1200 29.89 1
2004_05_12 1200 29.97 1
2004_05_17 1200 30.03 1
2004_05_22 1200 30.18 1
2004_05_27 1200 30.25 1
2004_06_01 1200 30.31 1
2004_06_06 1200 30.02 1
2004_06_11 1200 30.29 1
2004_06_16 1200 30.2 1
2004_06_21 1200 29.92 1
2004_06_26 1200 29.6 1
2004_07_01 1200 29.51 1
2004_07_06 1200 -9.99 0
2004_07_11 1200 -9.99 0
2004_07_16 1200 -9.99 0
2004_07_21 1200 -9.99 0
2004_07_26 1200 29.84 1
2004_07_31 1200 29.82 1
2004_08_05 1200 29.97 1
2004_08_10 1200 29.73 1
2004_08_15 1200 29.42 1
2004_08_20 1200 29.32 1
2004_08_25 1200 29.69 1
2004_08_30 1200 29.87 1
2004_09_04 1200 30.08 1
2004_09_09 1200 29.95 1
2004_09_14 1200 30.49 1
2004_09_19 1200 30.43 1
2004_09_24 1200 30.07 1
2004_09_29 1200 30.18 1
2004_10_04 1200 30.52 1
2004_10_09 1200 30.32 1
2004_10_14 1200 30.34 1
2004_10_19 1200 30.57 1
2004_10_24 1200 30.42 1
2004_10_29 1200 30.13 1
2004_11_03 1200 30.17 1
2004_11_08 1200 30.12 1
2004_11_13 1200 30.12 1
2004_11_18 1200 30.48 1
2004_11_23 1200 30.46 1
2004_11_28 1200 30.33 2
2004_12_03 1200 30.3 2
2004_12_08 1200 30.05 2
2004_12_13 1200 29.82 2
2004_12_18 1200 30.05 2
2004_12_23 1200 30.24 2
2004_12_28 1200 30.49 2
2005_01_02 1200 30.1 2
2005_01_07 1200 30.2 2
2005_01_12 1200 30.24 2
2005_01_17 1200 30.13 2
2005_01_22 1200 30.56 2
2005_01_27 1200 30.39 2
2005_02_01 1200 30.12 2
2005_02_06 1200 30.04 2
2005_02_11 1200 30.03 2
2005_02_16 1200 30.14 2
2005_02_21 1200 29.99 2
2005_02_26 1200 29.94 2
2005_03_03 1200 29.92 2
2005_03_08 1200 29.71 2
2005_03_13 1200 29.69 2
2005_03_18 1200 29.82 2
2005_03_23 1200 29.74 2
2005_03_28 1200 29.78 2
2005_04_02 1200 29.65 2
2005_04_07 1200 29.83 2
2005_04_12 1200 29.67 2
2005_04_17 1200 29.62 2
2005_04_22 1200 29.37 2
2005_04_27 1200 29.65 2
2005_05_02 1200 29.72 2
2005_05_07 1200 29.6 2
2005_05_12 1200 29.81 2
2005_05_17 1200 29.77 2
2005_05_22 1200 29.74 2
2005_05_27 1200 29.65 2
2005_06_01 1200 30.12 2
2005_06_06 1200 29.87 2
2005_06_11 1200 30.1 2
2005_06_16 1200 30.13 2
2005_06_21 1200 30.17 2
2005_06_26 1200 30.02 2
2005_07_01 1200 30.25 2
2005_07_06 1200 30.34 2
2005_07_11 1200 30.18 2
2005_07_16 1200 29.99 2
2005_07_21 1200 30.11 4
2005_07_26 1200 30.33 4
2005_07_31 1200 30.21 4
2005_08_05 1200 30.19 4
2005_08_10 1200 30.13 4
2005_08_15 1200 30.02 4
2005_08_20 1200 30.12 4
2005_08_25 1200 30.11 4
2005_08_30 1200 30.22 4
2005_09_04 1200 30.14 4
2005_09_09 1200 30.08 4
2005_09_14 1200 30 4
2005_09_19 1200 30 4
2005_09_24 1200 29.9 4
2005_09_29 1200 30.02 4
2005_10_04 1200 30.32 4
2005_10_09 1200 30.11 4
2005_10_14 1200 30.15 4
2005_10_19 1200 30.24 4
2005_10_24 1200 29.91 4
2005_10_29 1200 29.8 4
2005_11_03 1200 29.61 4
2005_11_08 1200 29.81 4
2005_11_13 1200 29.94 4
2005_11_18 1200 29.92 4
2005_11_23 1200 29.77 4
2005_11_28 1200 29.95 4
2005_12_03 1200 30.05 4
2005_12_08 1200 30.02 4
2005_12_13 1200 29.83 4
2005_12_18 1200 29.63 4
2005_12_23 1200 29.48 4
2005_12_28 1200 29.51 4
2006_01_02 1200 29.5 4
2006_01_07 1200 29.63 4
2006_01_12 1200 29.6 4
2006_01_17 1200 29.3 4
2006_01_22 1200 28.88 4
2006_01_27 1200 28.67 4
2006_02_01 1200 28.63 4
2006_02_06 1200 28.4 4
2006_02_11 1200 28.34 4
2006_02_16 1200 27.97 4
2006_02_21 1200 28.04 4
2006_02_26 1200 28.39 4
2006_03_03 1200 28.39 4
2006_03_08 1200 28.6 4
2006_03_13 1200 28.94 4
2006_03_18 1200 28.91 4
2006_03_23 1200 28.66 4
2006_03_28 1200 28.82 4
2006_04_02 1200 28.52 4
2006_04_07 1200 28.79 4
2006_04_12 1200 28.98 4
2006_04_17 1200 29.1 4
2006_04_22 1200 29.2 4
2006_04_27 1200 29.07 4
2006_05_02 1200 29.04 4
2006_05_07 1200 29.31 4
2006_05_12 1200 29.76 4
2006_05_17 1200 30.01 4
2006_05_22 1200 29.7 4
2006_05_27 1200 29.73 4
2006_06_01 1200 30.13 4
2006_06_06 1200 30.06 4
2006_06_11 1200 30.17 4
2006_06_16 1200 30.35 4
2006_06_21 1200 30.34 4
2006_06_26 1200 29.98 4
2006_07_01 1200 29.92 4
2006_07_06 1200 30.09 4
2006_07_11 1200 30.01 4
2006_07_16 1200 29.79 1
2006_07_21 1200 29.87 1
2006_07_26 1200 29.93 1
2006_07_31 1200 29.85 1
2006_08_05 1200 29.97 1
2006_08_10 1200 29.76 1
2006_08_15 1200 29.54 1
2006_08_20 1200 29.38 1
2006_08_25 1200 29.48 1
2006_08_30 1200 29.83 1
2006_09_04 1200 30.13 1
2006_09_09 1200 30.02 1
2006_09_14 1200 30.08 1
2006_09_19 1200 30.41 1
2006_09_24 1200 30.17 1
2006_09_29 1200 30.05 1
2006_10_04 1200 29.72 1
2006_10_09 1200 29.69 1
2006_10_14 1200 29.53 1
2006_10_19 1200 29.36 1
2006_10_24 1200 29.41 1
2006_10_29 1200 29.41 1
2006_11_03 1200 29.33 1
2006_11_08 1200 29.49 1
2006_11_13 1200 29.56 1
2006_11_18 1200 29.7 1
2006_11_23 1200 29.7 1
2006_11_28 1200 29.79 1
2006_12_03 1200 29.7 1
2006_12_08 1200 30.01 1
2006_12_13 1200 29.93 1
2006_12_18 1200 29.71 1
2006_12_23 1200 29.85 1
2006_12_28 1200 29.84 1
2007_01_02 1200 30.03 1
2007_01_07 1200 30.11 1
2007_01_12 1200 30 1
2007_01_17 1200 30.03 1
2007_01_22 1200 30.08 1
2007_01_27 1200 29.99 1
2007_02_01 1200 29.81 1
2007_02_06 1200 29.66 1
2007_02_11 1200 29.8 1
2007_02_16 1200 29.85 1
2007_02_21 1200 29.74 1
2007_02_26 1200 29.87 1
2007_03_03 1200 30.14 1
2007_03_08 1200 29.89 1
2007_03_13 1200 29.81 1
2007_03_18 1200 29.5 1
2007_03_23 1200 29.25 1
2007_03_28 1200 29.34 1
2007_04_02 1200 29.35 1
2007_04_07 1200 29.51 1
2007_04_12 1200 29.51 1
2007_04_17 1200 29.45 1
2007_04_22 1200 29.48 1
2007_04_27 1200 29.56 1
2007_05_02 1200 29.32 1
2007_05_07 1200 29.52 1
2007_05_12 1200 29.76 1
2007_05_17 1200 29.6 1
2007_05_22 1200 29.81 1
2007_05_27 1200 30.09 1
2007_06_01 1200 29.94 1
2007_06_06 1200 29.74 1
2007_06_11 1200 29.76 1
2007_06_16 1200 29.96 1
2007_06_21 1200 29.7 1
2007_06_26 1200 29.85 1
2007_07_01 1200 29.6 1
2007_07_06 1200 29.53 1
2007_07_11 1200 29.66 1
2007_07_16 1200 29.55 1
2007_07_21 1200 29.81 1
2007_07_26 1200 29.61 1
2007_07_31 1200 29.61 1
2007_08_05 1200 29.67 1
2007_08_10 1200 29.64 1
2007_08_15 1200 29.61 1
2007_08_20 1200 29.65 1
2007_08_25 1200 29.89 1
2007_08_30 1200 29.75 1
2007_09_04 1200 29.68 1
2007_09_09 1200 29.35 1
2007_09_14 1200 29.09 1
2007_09_19 1200 29.11 1
2007_09_24 1200 29.37 1
2007_09_29 1200 28.85 1
2007_10_04 1200 28.97 1
2007_10_09 1200 28.92 1
2007_10_14 1200 28.98 1
2007_10_19 1200 29.14 1
2007_10_24 1200 28.46 1
2007_10_29 1200 28.23 1
2007_11_03 1200 28.07 1
2007_11_08 1200 28.19 1
2007_11_13 1200 28.13 1
2007_11_18 1200 28.03 1
2007_11_23 1200 27.93 1
2007_11_28 1200 28.35 1
2007_12_03 1200 28.93 1
2007_12_08 1200 28.76 1
2007_12_13 1200 28.64 1
2007_12_18 1200 28.52 1
2007_12_23 1200 28.17 1
2007_12_28 1200 28.07 1
2008_01_02 1200 27.7 1
2008_01_07 1200 27.93 1
2008_01_12 1200 27.69 1
2008_01_17 1200 27.98 1
2008_01_22 1200 28.02 1
2008_01_27 1200 27.77 1
2008_02_01 1200 27.61 1
2008_02_06 1200 27.61 1
2008_02_11 1200 26.95 1
2008_02_16 1200 27.33 1
2008_02_21 1200 27.4 1
2008_02_26 1200 26.86 1
2008_03_03 1200 27.05 1
2008_03_08 1200 27.32 1
2008_03_13 1200 27.18 1
2008_03_18 1200 27.21 2
2008_03_23 1200 27.03 2
2008_03_28 1200 -9.99 0
2008_04_02 1200 -9.99 0
2008_04_07 1200 27.84 2
2008_04_12 1200 27.7 2
2008_04_17 1200 27.77 2
2008_09_09 1200 28.55 4
2008_09_14 1200 28.84 4
2008_09_19 1200 28.76 4
2008_09_24 1200 29.01 4
2008_09_29 1200 29.44 4
2008_10_04 1200 29.17 4
2008_10_09 1200 29.14 4
2008_10_14 1200 28.85 4
2008_10_19 1200 28.64 4
2008_10_24 1200 28.75 4
2008_10_29 1200 28.71 4
2008_11_03 1200 28.61 4
2008_11_08 1200 28.48 4
2008_11_13 1200 28.34 4
2008_11_18 1200 28.18 4
2008_11_23 1200 28.36 4
2008_11_28 1200 28.24 4
2008_12_03 1200 28.75 4
2008_12_08 1200 28.74 4
2008_12_13 1200 28.28 4
2008_12_18 1200 28.64 4
2008_12_23 1200 28.82 4
2008_12_28 1200 28.66 4
2009_01_02 1200 28.65 4
2009_01_07 1200 28.58 4
2009_01_12 1200 28.67 4
2009_01_17 1200 28.66 4
2009_01_22 1200 28.71 4
2009_01_27 1200 28.62 4
2009_02_01 1200 28.5 4
2009_02_06 1200 28.19 4
2009_02_11 1200 28.18 4
2009_02_16 1200 28.24 4
2009_02_21 1200 28.06 4
2009_02_26 1200 27.96 4
2009_03_03 1200 27.92 4
2009_03_08 1200 27.9 4
2009_03_13 1200 28.14 4
2009_03_18 1200 28.1 4
2009_03_23 1200 28.47 4
2009_03_28 1200 28.92 4
2009_04_02 1200 28.82 4
2009_04_07 1200 28.98 4
2009_04_12 1200 28.95 4
2009_04_17 1200 28.96 4
2009_04_22 1200 28.86 4
2009_04_27 1200 29.44 4
2009_05_02 1200 29.5 4
2009_05_07 1200 29.64 4
2009_05_12 1200 29.62 4
2009_05_17 1200 29.65 4
2009_05_22 1200 29.6 4
2009_05_27 1200 29.43 4
2009_06_01 1200 29.76 4
2009_06_06 1200 29.71 4
2009_06_11 1200 29.93 4
2009_06_16 1200 29.86 4
2009_06_21 1200 29.9 4
2009_06_26 1200 29.81 4
2009_07_01 1200 30 4
2009_07_06 1200 29.84 4
2009_07_11 1200 29.8 4
2009_07_16 1200 29.82 4
2009_07_21 1200 29.58 4
2009_07_26 1200 29.9 4
2009_07_31 1200 29.63 4
2009_08_05 1200 29.66 4
2009_08_10 1200 29.98 4
2009_08_15 1200 29.76 4
2009_08_20 1200 29.91 4
2009_08_25 1200 29.94 4
2009_08_30 1200 30.3 4
2009_09_04 1200 30.08 4
2009_09_09 1200 30.49 4
2009_09_14 1200 30.24 4
2009_09_19 1200 30.3 4
2009_09_24 1200 30.2 4
2009_09_29 1200 29.61 4
2009_10_04 1200 29.51 4
2009_10_09 1200 29.77 4
2009_10_14 1200 30.3 4
2009_10_19 1200 30.08 4
2009_10_24 1200 29.45 4
2009_10_29 1200 29.51 4
2009_11_03 1200 29.78 4
2009_11_08 1200 29.88 4
2009_11_13 1200 30.2 4
2009_11_18 1200 29.99 4
2009_11_23 1200 30.04 4
2009_11_28 1200 29.84 4
2009_12_03 1200 29.57 4
2009_12_08 1200 29.32 4
2009_12_13 1200 29.54 4
2009_12_18 1200 29.31 4
2009_12_23 1200 29.61 4
2009_12_28 1200 29.52 4
2010_01_02 1200 29.44 4
2010_01_07 1200 29.58 4
2010_01_12 1200 29.3 4
2010_01_17 1200 29.14 4
2010_01_22 1200 29.32 4
2010_01_27 1200 29.49 4
2010_02_01 1200 29.52 4
2010_02_06 1200 29.32 4
2010_02_11 1200 29.31 4
2010_02_16 1200 29.35 4
2010_02_21 1200 29.36 4
2010_02_26 1200 29.43 1
2010_03_03 1200 29.67 1
2010_03_08 1200 29.79 1
2010_03_13 1200 29.92 1
2010_03_18 1200 29.67 1
2010_03_23 1200 29.52 1
2010_03_28 1200 29.42 1
2010_04_02 1200 29.68 1
2010_04_07 1200 30 1
2010_04_12 1200 29.57 1
2010_04_17 1200 29.3 1
2010_04_22 1200 29.27 1
2010_04_27 1200 29.76 1
2010_05_02 1200 29.46 1
2010_05_07 1200 29.22 1
2010_05_12 1200 29.36 1
2010_05_17 1200 29.47 1
2010_05_22 1200 29.46 1
2010_05_27 1200 29.29 1
2010_06_01 1200 28.95 1
2010_06_06 1200 28.93 1
2010_06_11 1200 29.03 1
2010_06_16 1200 28.94 1
2010_06_21 1200 28.88 1
2010_06_26 1200 28.93 1
2010_07_01 1200 28.52 1
2010_07_06 1200 28.49 1
2010_07_11 1200 28.79 1
2010_07_16 1200 28.55 1
2010_07_21 1200 28.18 1
2010_07_26 1200 28.37 1
2010_07_31 1200 27.99 1
2010_08_05 1200 27.85 1
2010_08_10 1200 27.73 1
2010_08_15 1200 28.13 1
2010_08_20 1200 28.03 1
2010_08_25 1200 28.1 1
2010_08_30 1200 28.23 1
2010_09_04 1200 28.05 1
2010_09_09 1200 27.86 1
2010_09_14 1200 27.88 1
2010_09_19 1200 27.99 1
2010_09_24 1200 28.03 1
2010_09_29 1200 27.93 1
2010_10_04 1200 27.95 1
2010_10_09 1200 27.76 1
2010_10_14 1200 27.71 1
2010_10_19 1200 27.96 1
2010_10_24 1200 27.95 1
2010_10_29 1200 27.9 1
2010_11_03 1200 27.88 1
2010_11_08 1200 27.94 1
2010_11_13 1200 28.75 1
2010_11_18 1200 28.38 1
2010_11_23 1200 27.97 1
2010_11_28 1200 27.75 1
2010_12_03 1200 27.59 1
2010_12_08 1200 27.49 1
2010_12_13 1200 27.52 1
2010_12_18 1200 27.79 1
2010_12_23 1200 27.53 1
2010_12_28 1200 27.43 1
2011_01_02 1200 27.38 1
2011_01_07 1200 27.81 1
2011_01_12 1200 27.75 1
2011_01_17 1200 27.42 1
2011_01_22 1200 28.12 1
2011_01_27 1200 28.36 1
2011_02_01 1200 27.94 1
2011_02_06 1200 27.53 1
2011_02_11 1200 27.75 1
2011_02_16 1200 28.18 1
2011_02_21 1200 28.07 1
2011_02_26 1200 27.94 1
2011_03_03 1200 27.9 4
2011_03_08 1200 28.02 4
2011_03_13 1200 28.03 4
2011_03_18 1200 27.94 4
2011_03_23 1200 28.08 4
2011_03_28 1200 28.01 4
2011_04_02 1200 28.1 4
2011_04_07 1200 28.39 4
2011_04_12 1200 28.91 4
2011_04_17 1200 28.85 4
2011_04_22 1200 28.89 4
2011_04_27 1200 28.75 4
2011_05_02 1200 28.73 4
2011_05_07 1200 28.78 4
2011_05_12 1200 29.05 4
2011_05_17 1200 29.1 4
2011_05_22 1200 29.06 4
2011_05_27 1200 29.07 4
2011_06_01 1200 29.1 4
2011_06_06 1200 29.09 4
2011_06_11 1200 29.11 4
2011_06_16 1200 28.99 4
2011_06_21 1200 28.92 4
2011_06_26 1200 29.14 4
2011_07_01 1200 29.39 4
2011_07_06 1200 29.49 4
2011_07_11 1200 29.46 4
2011_07_16 1200 29.31 4
2011_07_21 1200 28.98 4
2011_07_26 1200 29.24 4
2011_07_31 1200 29.58 4
2011_08_05 1200 29.67 4
2011_08_10 1200 29.79 4
2011_08_15 1200 29.83 4
2011_08_20 1200 29.89 4
2011_08_25 1200 29.62 4
2011_08_30 1200 29.53 4
2011_09_04 1200 29.28 4
2011_09_09 1200 29.27 4
2011_09_14 1200 29.2 4
2011_09_19 1200 28.98 4
2011_09_24 1200 28.57 4
2011_09_29 1200 28.27 4
2011_10_04 1200 28.27 4
2011_10_09 1200 28.43 4
2011_10_14 1200 28.7 4
2011_10_19 1200 29.29 4
2011_10_24 1200 28.94 4
2011_10_29 1200 28.74 4
2011_11_03 1200 28.49 4
2011_11_08 1200 28.82 4
2011_11_13 1200 29.28 2
2011_11_18 1200 29.31 2
2011_11_23 1200 28.94 2
2013_08_15 1200 29.65 2
2013_08_20 1200 29.76 2
2014_10_29 1200 30.7 1
2014_11_03 1200 30.81 1
2014_11_08 1200 30.7 1
2014_11_13 1200 30.83 1
2014_11_18 1200 30.9 1
2014_11_23 1200 31.03 1
2014_11_28 1200 30.86 1
2014_12_03 1200 30.85 1
2014_12_08 1200 30.82 1
2014_12_13 1200 30.69 1
2014_12_18 1200 30.74 1
2014_12_23 1200 30.63 1
2014_12_28 1200 30.54 1
2015_01_02 1200 30.41 1
2015_01_07 1200 30.44 1
2015_01_12 1200 30.31 1
2015_01_17 1200 30.5 1
2015_01_22 1200 30.49 1
2015_01_27 1200 30.38 1
2015_02_01 1200 30.4 1
2015_02_06 1200 30.11 1
2015_02_11 1200 30.13 1
2015_02_16 1200 30.03 1
2015_02_21 1200 30.29 1
2015_02_26 1200 30.55 1
2015_03_03 1200 30.12 1
2015_03_08 1200 29.84 1
2015_03_13 1200 29.9 1
2015_03_18 1200 30.23 1
2015_03_23 1200 30.18 1
2015_03_28 1200 29.82 1
2015_04_02 1200 29.73 1
2015_04_07 1200 29.69 1
2015_04_12 1200 30.03 1
2015_04_17 1200 29.89 1
2015_04_22 1200 30.27 1
2015_04_27 1200 30.71 1
2015_05_02 1200 30.32 1
2015_05_07 1200 29.98 1
2015_05_12 1200 29.76 1
2015_05_17 1200 30.02 1
2015_05_22 1200 29.78 1
2015_05_27 1200 29.93 1
2015_06_01 1200 29.99 1
2015_06_06 1200 30.11 1
2015_06_11 1200 30.07 1
2015_06_16 1200 29.82 1
2015_06_21 1200 30.04 1
2015_06_26 1200 29.91 1
2015_07_01 1200 29.52 1
2015_07_06 1200 29.55 1
2015_07_11 1200 29.68 1
2015_07_16 1200 29.83 1
2015_07_21 1200 29.85 1
2015_07_26 1200 29.64 1
2015_07_31 1200 28.91 1
2015_08_05 1200 29.12 1
2015_08_10 1200 28.88 1
2015_08_15 1200 29.08 1
2015_08_20 1200 29.35 1
2015_08_25 1200 29.52 1
2015_08_30 1200 29.47 1
2015_09_04 1200 29.27 1
2015_09_09 1200 29.4 1
2015_09_14 1200 29.55 1
2015_09_19 1200 29.2 1
2015_09_24 1200 29.06 1
2015_09_29 1200 29.32 1
2015_10_04 1200 29.62 1
2015_10_09 1200 29.57 1
2015_10_14 1200 29.51 1
2015_10_19 1200 29.77 1
2015_10_24 1200 29.83 1
2015_10_29 1200 30.11 1
2015_11_03 1200 30.1 1
2015_11_08 1200 30.12 1
2015_11_13 1200 30.07 1
2015_11_18 1200 29.88 1
2015_11_23 1200 29.98 1
2015_11_28 1200 29.89 1
2015_12_03 1200 29.89 1
2015_12_08 1200 29.8 1
2015_12_13 1200 29.92 1
2015_12_18 1200 30.01 1
2015_12_23 1200 29.61 1
2015_12_28 1200 29.41 1
2016_01_02 1200 29.63 1
2016_01_07 1200 29.77 1
2016_01_12 1200 29.77 1
2016_01_17 1200 29.72 1
2016_01_22 1200 29.82 1
2016_01_27 1200 29.61 1
2016_02_01 1200 29.39 1
2016_02_06 1200 29.46 1
2016_02_11 1200 29.36 1
2016_02_16 1200 29.48 1
