 Location:  0N 165E  13 Dec 1986 to 19 Oct 2020 ( 2472 times, 11 blocks) Gen. Date Apr 20 2021
 Units: Sea Surface Temperature (C), -9.99 = missing
YYYY_MM_DD HHMM SST Q
1989_09_04 1200 28.78 2
1989_09_09 1200 28.85 2
1989_09_14 1200 28.95 2
1989_09_19 1200 28.93 2
1989_09_24 1200 29.09 2
1989_09_29 1200 29.29 2
1989_10_04 1200 29.54 2
1989_10_09 1200 29.17 2
1989_10_14 1200 28.87 2
1989_10_19 1200 29.02 2
1989_10_24 1200 28.98 2
1989_10_29 1200 29.36 2
1989_11_03 1200 29.15 2
1989_11_08 1200 29.61 2
1989_11_13 1200 29.66 2
1989_11_18 1200 29.22 2
1989_11_23 1200 29.31 2
1989_11_28 1200 29.14 2
1989_12_03 1200 29.09 2
1989_12_08 1200 29.49 2
1989_12_13 1200 29.5 2
1989_12_18 1200 29.27 2
1989_12_23 1200 29.33 2
1989_12_28 1200 29.44 2
1990_01_02 1200 29.86 2
1990_01_07 1200 29.53 2
1990_01_12 1200 29.49 2
1990_01_17 1200 29.42 2
1990_01_22 1200 29.37 2
1990_01_27 1200 29.22 2
1990_02_01 1200 29.37 2
1990_02_06 1200 29.31 2
1990_02_11 1200 29.27 2
1990_02_16 1200 29.38 2
1990_02_21 1200 29.71 2
1990_02_26 1200 29.43 2
1990_03_03 1200 29.52 2
1990_03_08 1200 29.43 2
1990_03_13 1200 29.13 2
1990_03_18 1200 29.47 2
1990_03_23 1200 29.5 2
1990_03_28 1200 29.65 2
1990_04_02 1200 29.6 2
1990_04_07 1200 29.58 2
1990_04_12 1200 29.63 2
1990_04_17 1200 29.56 2
1990_04_22 1200 29.64 2
1990_04_27 1200 29.53 2
1990_05_02 1200 29.6 2
1990_05_07 1200 29.39 2
1990_05_12 1200 29.7 2
1990_05_17 1200 29.57 2
1990_05_22 1200 29.79 2
1990_05_27 1200 30.15 2
1990_06_01 1200 29.95 2
1990_06_06 1200 30.16 2
1990_06_11 1200 30.16 2
1990_06_16 1200 29.95 2
1990_06_21 1200 30.02 2
1990_06_26 1200 29.88 2
1990_07_01 1200 29.95 2
1990_07_06 1200 29.58 2
1990_07_11 1200 29.78 2
1990_07_16 1200 29.86 2
1990_07_21 1200 29.82 2
1990_07_26 1200 29.9 2
1990_07_31 1200 29.76 2
1990_08_05 1200 29.82 2
1990_08_10 1200 29.95 2
1990_08_15 1200 30.09 2
1990_08_20 1200 30.35 2
1990_08_25 1200 29.92 2
1990_08_30 1200 29.46 2
1990_09_04 1200 29.34 2
1990_09_09 1200 29.53 2
1990_09_14 1200 29.71 2
1990_09_19 1200 29.91 2
1990_09_24 1200 29.9 2
1990_09_29 1200 29.89 2
1990_10_04 1200 30.11 2
1990_10_09 1200 30.05 2
1990_10_14 1200 29.85 2
1990_10_19 1200 30.11 2
1990_10_24 1200 30.35 2
1990_10_29 1200 30.49 2
1990_11_03 1200 30.53 2
1990_11_08 1200 30.46 2
1990_11_13 1200 30.31 2
1990_11_18 1200 30.02 2
1990_11_23 1200 29.77 2
1990_11_28 1200 29.71 2
1990_12_03 1200 29.84 2
1990_12_08 1200 30.01 2
1990_12_13 1200 29.79 2
1990_12_18 1200 29.57 2
1990_12_23 1200 29.62 2
1990_12_28 1200 29.63 2
1991_01_02 1200 29.56 2
1991_01_07 1200 29.65 2
1991_01_12 1200 29.48 2
1991_01_17 1200 29.48 2
1991_01_22 1200 29.45 2
1991_01_27 1200 29.55 2
1991_02_01 1200 29.67 2
1991_02_06 1200 29.91 2
1991_02_11 1200 30 2
1991_02_16 1200 30.08 2
1991_02_21 1200 30.04 2
1991_02_26 1200 29.95 2
1991_03_03 1200 29.89 2
1991_03_08 1200 30.03 2
1991_03_13 1200 30.06 2
1991_03_18 1200 29.75 2
1991_03_23 1200 29.74 2
1991_03_28 1200 29.88 2
1991_04_02 1200 29.93 2
1991_04_07 1200 30.1 2
1991_04_12 1200 30.08 2
1991_04_17 1200 30.24 2
1991_04_22 1200 30.15 2
1991_04_27 1200 29.93 2
1991_05_02 1200 30 2
1991_05_07 1200 30.2 2
1991_05_12 1200 29.96 2
1991_05_17 1200 29.88 2
1991_05_22 1200 29.88 2
1991_05_27 1200 29.98 2
1991_06_01 1200 30 2
1991_06_06 1200 30.11 2
1991_06_11 1200 30.07 2
1991_06_16 1200 30.02 2
1991_06_21 1200 29.68 2
1991_06_26 1200 29.71 2
1991_07_01 1200 29.83 2
1991_07_06 1200 29.78 2
1991_07_11 1200 29.85 2
1991_07_16 1200 29.75 2
1991_07_21 1200 29.92 2
1991_07_26 1200 30.15 2
1991_07_31 1200 30.08 2
1991_08_05 1200 29.95 2
1991_08_10 1200 30.2 2
1991_08_15 1200 30.04 2
1991_08_20 1200 29.98 2
1991_08_25 1200 29.84 2
1991_08_30 1200 30.03 2
1991_09_04 1200 29.65 2
1991_09_09 1200 29.52 2
1991_09_14 1200 29.71 2
1991_09_19 1200 29.46 2
1991_09_24 1200 29.22 2
1991_09_29 1200 29.27 2
1991_10_04 1200 29.8 2
1991_10_09 1200 29.97 2
1991_10_14 1200 30.05 2
1991_10_19 1200 29.81 2
1991_10_24 1200 29.85 2
1991_10_29 1200 30.12 2
1991_11_03 1200 29.96 2
1991_11_08 1200 29.81 2
1991_11_13 1200 29.66 2
1991_11_18 1200 29.37 2
1991_11_23 1200 29.04 2
1991_11_28 1200 29.17 2
1991_12_03 1200 29.34 2
1991_12_08 1200 29.34 2
1991_12_13 1200 29.42 2
1991_12_18 1200 29.36 2
1991_12_23 1200 29.61 2
1991_12_28 1200 29.5 2
1992_01_02 1200 29.12 2
1992_02_11 1200 29.09 2
1992_02_16 1200 28.92 2
1992_02_21 1200 28.81 2
1992_02_26 1200 28.77 2
1992_03_03 1200 28.97 2
1992_03_08 1200 29.1 2
1992_03_13 1200 29 2
1992_03_18 1200 28.85 2
1992_03_23 1200 28.98 2
1992_03_28 1200 29.16 2
1992_04_02 1200 29.45 2
1992_04_07 1200 30.05 2
1992_04_12 1200 29.57 2
1992_04_17 1200 29.49 2
1992_04_22 1200 29.37 2
1992_04_27 1200 29.49 2
1992_05_02 1200 29.29 2
1992_05_07 1200 29.27 2
1992_05_12 1200 29.11 2
1992_05_17 1200 29.07 2
1992_05_22 1200 29.16 2
1992_05_27 1200 29.32 2
1992_06_01 1200 29.25 2
1992_06_06 1200 29.4 2
1992_06_11 1200 29.56 2
1992_06_16 1200 29.63 2
1992_06_21 1200 29.58 2
1992_06_26 1200 29.58 2
1992_07_01 1200 29.67 2
1992_07_06 1200 29.85 2
1992_07_11 1200 29.82 2
1992_07_16 1200 29.79 2
1992_07_21 1200 29.61 2
1992_07_26 1200 29.65 2
1992_07_31 1200 29.91 2
1992_08_05 1200 -9.99 0
1992_08_10 1200 -9.99 0
1992_08_15 1200 -9.99 0
1992_08_20 1200 -9.99 0
1992_08_25 1200 30.13 2
1992_08_30 1200 30.07 2
1992_09_04 1200 30.27 2
1992_09_09 1200 30.31 2
1992_09_14 1200 30.05 2
1992_09_19 1200 29.96 2
1992_09_24 1200 30.16 2
1992_09_29 1200 30.46 2
1992_10_04 1200 30.52 2
1992_10_09 1200 30.27 2
1992_10_14 1200 30.16 2
1992_10_19 1200 30.44 2
1992_10_24 1200 30.15 2
1992_10_29 1200 29.66 2
1992_11_03 1200 29.66 2
1992_11_08 1200 29.57 2
1992_11_13 1200 29.58 2
1992_11_18 1200 29.67 2
1992_11_23 1200 -9.99 0
1992_11_28 1200 -9.99 0
1992_12_03 1200 -9.99 0
1992_12_08 1200 -9.99 0
1992_12_13 1200 29.65 2
1992_12_18 1200 29.82 2
1992_12_23 1200 29.46 2
1992_12_28 1200 29.21 2
1993_01_02 1200 29.12 2
1993_01_07 1200 29.29 2
1993_01_12 1200 29.36 2
1993_01_17 1200 29.28 2
1993_01_22 1200 29.25 2
1993_01_27 1200 29.31 2
1993_02_01 1200 29.1 2
1993_02_06 1200 29.53 2
1993_02_11 1200 29.27 2
1993_02_16 1200 29.26 2
1993_02_21 1200 29.21 2
1993_02_26 1200 29.23 2
1993_03_03 1200 29.42 2
1993_03_08 1200 28.9 2
1993_03_13 1200 28.97 2
1993_03_18 1200 -9.99 0
1993_03_23 1200 29.07 2
1993_03_28 1200 29.18 2
1993_04_02 1200 29.28 2
1993_04_07 1200 29.17 2
1993_04_12 1200 29.13 2
1993_04_17 1200 29.07 2
1993_04_22 1200 29.2 2
1993_04_27 1200 29.26 2
1993_05_02 1200 29.13 2
1993_05_07 1200 29.21 2
1993_05_12 1200 29.12 2
1993_05_17 1200 29.32 2
1993_05_22 1200 29.2 2
1993_05_27 1200 29.31 2
1993_06_01 1200 29.41 2
1993_06_06 1200 29.42 2
1993_06_11 1200 29.27 2
1993_06_16 1200 29.13 2
1993_06_21 1200 29.13 2
1993_06_26 1200 29.19 2
1993_07_01 1200 29.37 2
1993_07_06 1200 29.2 2
1993_07_11 1200 29 2
1993_07_16 1200 29.51 2
1993_07_21 1200 29.51 2
1993_07_26 1200 29.44 2
1993_07_31 1200 29.4 2
1993_08_05 1200 29.57 2
1993_08_10 1200 29.14 2
1993_08_15 1200 28.91 2
1993_08_20 1200 28.7 2
1993_08_25 1200 29.04 2
1993_08_30 1200 29 2
1993_09_04 1200 29.27 2
1993_09_09 1200 29.43 2
1993_09_14 1200 29.57 2
1993_09_19 1200 30 2
1993_09_24 1200 29.97 2
1993_09_29 1200 29.86 2
1993_10_04 1200 29.75 2
1993_10_09 1200 29.87 2
1993_10_14 1200 29.83 2
1993_10_19 1200 29.7 2
1993_10_24 1200 29.62 2
1993_10_29 1200 29.41 2
1993_11_03 1200 29.53 2
1993_11_08 1200 29.77 2
1993_11_13 1200 29.92 2
1993_11_18 1200 30.17 2
1993_11_23 1200 30.08 2
1993_11_28 1200 29.99 2
1993_12_03 1200 30.04 2
1993_12_08 1200 29.99 2
1993_12_13 1200 30.12 2
1993_12_18 1200 30.02 2
1993_12_23 1200 29.76 2
1993_12_28 1200 29.7 2
1994_01_02 1200 29.55 2
1994_01_07 1200 29.65 2
1994_01_12 1200 29.53 2
1994_01_17 1200 29.65 2
1994_01_22 1200 29.67 2
1994_01_27 1200 29.63 2
1994_02_01 1200 29.72 2
1994_02_06 1200 29.7 2
1994_02_11 1200 29.31 2
1994_02_16 1200 29.12 2
1994_02_21 1200 28.7 2
1994_02_26 1200 28.72 2
1994_03_03 1200 28.61 2
1994_03_08 1200 28.72 2
1994_03_13 1200 28.55 2
1994_03_18 1200 29.03 2
1994_03_23 1200 28.64 2
1994_03_28 1200 28.74 2
1994_04_02 1200 28.86 2
1994_04_07 1200 29.29 2
1994_04_12 1200 29.28 2
1994_04_17 1200 29.09 2
1994_04_22 1200 29.27 2
1994_04_27 1200 29.33 2
1994_05_02 1200 29.29 2
1994_05_07 1200 29.24 2
1994_05_12 1200 29.79 2
1994_05_17 1200 29.59 2
1994_05_22 1200 30.25 2
1994_05_27 1200 30.02 2
1994_06_01 1200 30.11 2
1994_06_06 1200 30.09 2
1994_06_11 1200 29.99 2
1994_06_16 1200 29.93 2
1994_06_21 1200 29.91 2
1994_06_26 1200 30.2 2
1994_07_01 1200 30.18 2
1994_07_06 1200 30.25 2
1994_07_11 1200 30.31 2
1994_07_16 1200 30.32 2
1994_07_21 1200 30.08 2
1994_07_26 1200 29.62 2
1994_07_31 1200 29.3 2
1994_08_05 1200 29.47 2
1994_08_10 1200 29.14 2
1994_08_15 1200 29.29 2
1994_08_20 1200 29.28 2
1994_08_25 1200 29.33 2
1994_08_30 1200 29.46 2
1994_09_04 1200 29.59 2
1994_09_09 1200 29.05 2
1994_09_14 1200 28.88 2
1994_09_19 1200 29.04 2
1994_09_24 1200 29.37 2
1994_09_29 1200 28.92 2
1994_10_04 1200 29.06 2
1994_10_09 1200 29.45 2
1994_10_14 1200 29.1 2
1994_10_19 1200 29.3 2
1994_10_24 1200 29.64 2
1994_10_29 1200 29.36 2
1994_11_03 1200 29.37 2
1994_11_08 1200 29.16 2
1994_11_13 1200 29.17 2
1994_11_18 1200 29.61 2
1994_11_23 1200 29.82 2
1994_11_28 1200 30.18 2
1994_12_03 1200 30.13 2
1994_12_08 1200 29.65 2
1994_12_13 1200 29.33 2
1994_12_18 1200 29.23 2
1994_12_23 1200 29.35 2
1995_05_02 1200 29.64 2
1995_05_07 1200 29.63 2
1995_05_12 1200 29.78 2
1995_05_17 1200 29.93 2
1995_05_22 1200 30.01 2
1995_05_27 1200 29.9 2
1995_06_01 1200 29.8 2
1995_06_06 1200 29.92 2
1995_06_11 1200 29.86 2
1995_06_16 1200 29.63 2
1995_06_21 1200 29.72 2
1995_06_26 1200 29.66 2
1995_07_01 1200 29.69 2
1995_07_06 1200 29.45 2
1995_07_11 1200 29.53 2
1995_07_16 1200 29.52 2
1995_07_21 1200 29.52 2
1995_07_26 1200 29.47 2
1995_07_31 1200 29.07 2
1995_08_05 1200 28.65 2
1995_08_10 1200 28.5 2
1995_08_15 1200 28.58 2
1995_08_20 1200 28.6 2
1995_08_25 1200 28.57 2
1995_08_30 1200 28.45 2
1995_09_04 1200 28.02 2
1995_09_09 1200 28.31 2
1995_09_14 1200 28.45 2
1995_09_19 1200 28.46 2
1995_09_24 1200 28.42 2
1995_09_29 1200 28.29 2
1995_10_04 1200 28.11 2
1995_10_09 1200 28.64 2
1995_10_14 1200 28.66 2
1995_10_19 1200 28.68 2
1995_10_24 1200 28.83 2
1995_10_29 1200 28.59 2
1995_11_03 1200 28.14 2
1995_11_08 1200 28.12 2
1995_11_13 1200 28.49 2
1995_11_18 1200 28.59 2
1995_11_23 1200 28.59 2
1995_11_28 1200 28.89 2
1995_12_03 1200 29.2 2
1995_12_08 1200 29.4 2
1995_12_13 1200 29.69 2
1995_12_18 1200 30.14 2
1995_12_23 1200 30.43 2
1995_12_28 1200 30.27 2
1996_01_02 1200 30.55 2
1996_01_07 1200 30.48 2
1996_01_12 1200 30.6 2
1996_01_17 1200 30.38 2
1996_01_22 1200 30.41 2
1996_01_27 1200 30.2 2
1996_02_01 1200 30.03 2
1996_02_06 1200 29.3 2
1996_02_11 1200 29.23 2
1996_02_16 1200 29.08 2
1996_02_21 1200 29.24 2
1996_02_26 1200 29.07 2
1996_03_03 1200 29.13 2
1996_03_08 1200 29.25 2
1996_03_13 1200 29.57 2
1996_07_16 1200 28.54 2
1996_07_21 1200 28.62 2
1996_07_26 1200 28.98 2
1996_07_31 1200 29.38 2
1996_08_05 1200 29.1 2
1996_08_10 1200 29.23 2
1996_08_15 1200 29.14 2
1996_08_20 1200 29.1 2
1996_08_25 1200 28.81 2
1996_08_30 1200 28.97 2
1996_09_04 1200 28.96 2
1996_09_09 1200 28.85 2
1996_09_14 1200 28.93 2
1996_09_19 1200 29.58 2
1996_09_24 1200 29.61 2
1996_09_29 1200 28.88 2
1996_10_04 1200 28.97 2
1996_10_09 1200 28.84 2
1996_10_14 1200 28.66 2
1996_10_19 1200 28.77 2
1996_10_24 1200 28.61 2
1996_10_29 1200 28.86 2
1996_11_03 1200 28.93 2
1996_11_08 1200 28.81 2
1996_11_13 1200 28.87 2
1996_11_18 1200 29.29 2
1996_11_23 1200 29.31 2
1996_11_28 1200 29.24 2
