 Location:  0N 110W   8 Mar 1980 to 18 Nov 2020 ( 2972 times, 18 blocks) Gen. Date Apr 20 2021
 Units: Sea Surface Temperature (C), -9.99 = missing
YYYY_MM_DD HHMM SST QUALITY
1985_07_31 1200 21.25 2
1985_08_05 1200 23.25 2
1985_08_10 1200 21.56 2
1985_08_15 1200 21.38 2
1985_08_20 1200 22.18 2
1985_08_25 1200 22.04 2
1985_08_30 1200 22.63 2
1985_09_04 1200 22.28 2
1985_09_09 1200 21.43 2
1985_09_14 1200 21.27 2
1985_09_19 1200 21.67 2
1985_09_24 1200 20.79 2
1985_09_29 1200 20.93 2
1985_10_04 1200 23.43 2
1985_10_09 1200 21.31 2
1985_10_14 1200 20.86 2
1985_10_19 1200 20.81 2
1985_10_24 1200 21.19 2
1985_10_29 1200 23.35 2
1985_11_03 1200 21.63 2
1985_11_08 1200 21.19 2
1985_11_13 1200 21.19 2
1985_11_18 1200 21.37 2
1985_11_23 1200 21.57 2
1985_11_28 1200 21.81 2
1985_12_03 1200 21.79 2
1985_12_08 1200 21.95 2
1985_12_13 1200 21.64 2
1985_12_18 1200 21.94 2
1985_12_23 1200 21.83 2
1985_12_28 1200 22.5 2
1986_01_02 1200 22.46 2
1986_01_07 1200 22.57 2
1986_01_12 1200 22.71 2
1986_01_17 1200 23.41 2
1986_01_22 1200 23.76 2
1986_01_27 1200 23.2 2
1986_02_01 1200 24.01 2
1986_02_06 1200 25.08 2
1986_02_11 1200 25.81 2
1986_02_16 1200 24.79 2
1986_02_21 1200 26.13 2
1986_02_26 1200 26.76 2
1986_03_03 1200 27.17 2
1986_03_08 1200 25.87 2
1986_03_13 1200 26.26 2
1986_03_18 1200 26.24 2
1986_03_23 1200 24.82 2
1986_03_28 1200 24.6 2
1986_04_02 1200 24.88 2
1986_04_07 1200 25.44 2
1986_04_12 1200 25.7 2
1986_04_17 1200 27.04 2
1986_04_22 1200 26.93 2
1986_04_27 1200 26.63 2
1986_05_02 1200 25.75 2
1986_05_07 1200 25.27 2
1986_05_12 1200 24.94 2
1986_05_17 1200 24.67 2
1986_05_22 1200 25.17 2
1986_05_27 1200 24.87 2
1986_06_01 1200 24.55 2
1986_06_06 1200 24.58 2
1986_06_11 1200 24.46 2
1986_06_16 1200 24.9 2
1986_06_21 1200 25.15 2
1986_06_26 1200 25.04 2
1986_07_01 1200 24.43 2
1986_07_06 1200 24.48 2
1986_07_11 1200 23.33 2
1986_07_16 1200 22.89 2
1986_07_21 1200 23.42 2
1986_07_26 1200 24.62 2
1986_07_31 1200 22.18 2
1986_08_05 1200 21.84 2
1986_08_10 1200 21.74 2
1986_08_15 1200 21.09 2
1986_08_20 1200 23.11 2
1986_08_25 1200 22.01 2
1986_08_30 1200 22.24 2
1986_09_04 1200 22.54 2
1986_09_09 1200 22.82 2
1986_09_14 1200 23.07 2
1986_09_19 1200 23.57 2
1986_09_24 1200 23.65 2
1986_09_29 1200 23.61 2
1986_10_04 1200 23.89 2
1986_10_09 1200 24.84 2
1986_10_14 1200 24.58 2
1986_10_19 1200 24.17 2
