 Location:  0N 110W   8 Mar 1980 to 18 Nov 2020 ( 2972 times, 18 blocks) Gen. Date Apr 20 2021
 Units: Sea Surface Temperature (C), -9.99 = missing
YYYY_MM_DD HHMM SST QUALITY
1994_04_12 1200 24.63 2
1994_04_17 1200 24.66 2
1994_04_22 1200 25.11 2
1994_04_27 1200 24.75 2
1994_05_02 1200 24.94 2
1994_05_07 1200 24.68 2
1994_05_12 1200 24.88 2
1994_05_17 1200 25.38 2
1994_05_22 1200 26.41 2
1994_05_27 1200 27.67 2
1994_06_01 1200 27.68 2
1994_06_06 1200 26.68 2
1994_06_11 1200 25.44 2
1994_06_16 1200 25.17 2
1994_06_21 1200 24.42 2
1994_06_26 1200 25.07 2
1994_07_01 1200 25.24 2
1994_07_06 1200 22.8 2
1994_07_11 1200 22.61 2
1994_07_16 1200 22.09 2
1994_07_21 1200 22.1 2
1994_07_26 1200 20.95 2
1994_07_31 1200 20.83 2
1994_08_05 1200 21.71 2
1994_08_10 1200 23.73 2
1994_08_15 1200 23.59 2
1994_08_20 1200 21.67 2
1994_08_25 1200 21.88 2
1994_08_30 1200 22.15 2
1994_09_04 1200 22.18 2
1994_09_09 1200 23.46 2
1994_09_14 1200 23.36 2
1994_09_19 1200 22.65 2
1994_09_24 1200 23 2
1994_09_29 1200 22.98 2
1994_10_04 1200 23.64 2
1994_10_09 1200 24.23 2
1994_10_14 1200 25.28 2
1994_10_19 1200 25.67 2
1994_10_24 1200 24.34 2
1994_10_29 1200 23.78 2
1994_11_03 1200 24.24 2
1994_11_08 1200 24.17 2
1994_11_13 1200 23.82 2
1994_11_18 1200 24.15 2
1994_11_23 1200 24.05 2
1994_11_28 1200 24.15 2
1994_12_03 1200 23.75 2
1994_12_08 1200 23.98 2
1994_12_13 1200 24.36 2
1994_12_18 1200 24.65 2
1994_12_23 1200 25.34 2
1994_12_28 1200 24.54 2
1995_01_02 1200 24.83 2
1995_01_07 1200 25.26 2
1995_01_12 1200 24.7 2
1995_01_17 1200 25.03 2
1995_01_22 1200 26.06 2
1995_01_27 1200 24.94 2
1995_02_01 1200 26.05 2
1995_02_06 1200 26.66 2
1995_02_11 1200 26.53 2
1995_02_16 1200 26.11 2
1995_02_21 1200 25.91 2
1995_02_26 1200 25.88 2
1995_03_03 1200 24.89 2
1995_03_08 1200 24.44 2
1995_03_13 1200 24.89 2
1995_03_18 1200 24.07 2
1995_03_23 1200 25.18 2
1995_03_28 1200 25.55 2
1995_04_02 1200 25.19 2
1995_04_07 1200 25.51 2
1995_04_12 1200 25.6 2
1995_04_17 1200 25.79 2
1995_04_22 1200 24.8 2
1995_04_27 1200 24.56 2
1995_05_02 1200 23.35 2
1995_05_07 1200 23.43 2
1995_05_12 1200 23.84 2
1995_05_17 1200 23.86 2
1995_05_22 1200 23.75 2
1995_05_27 1200 24.09 2
1995_06_01 1200 24.45 2
1995_06_06 1200 25.86 2
1995_06_11 1200 24.96 2
1995_06_16 1200 24.73 2
1995_06_21 1200 24.24 2
1995_06_26 1200 24.01 2
1995_07_01 1200 23.95 2
1995_07_06 1200 23.32 2
1995_07_11 1200 24.51 2
1995_07_16 1200 25.11 2
1995_07_21 1200 22.98 2
1995_07_26 1200 22.78 2
1995_07_31 1200 22.7 2
1995_08_05 1200 20.72 2
1995_08_10 1200 21.92 2
1995_08_15 1200 21.53 2
1995_08_20 1200 20.97 2
1995_08_25 1200 20.89 2
1995_08_30 1200 22.25 2
1995_09_04 1200 21.24 2
1995_09_09 1200 20.78 2
1995_09_14 1200 20.93 2
1995_09_19 1200 22.04 2
1995_09_24 1200 21.22 2
1995_09_29 1200 21.19 2
1995_10_04 1200 22.08 2
1995_10_09 1200 22.11 2
1995_10_14 1200 20.73 2
1995_10_19 1200 20.97 2
1995_10_24 1200 21.06 2
1995_10_29 1200 20.48 2
1995_11_03 1200 20.55 2
1995_11_08 1200 21.09 2
1995_11_13 1200 21.42 2
1995_11_18 1200 21.37 2
1995_11_23 1200 21.52 2
1995_11_28 1200 21.2 2
1995_12_03 1200 21.48 2
1995_12_08 1200 21.07 2
1995_12_13 1200 21.76 2
1995_12_18 1200 20.95 2
1995_12_23 1200 21.5 2
1995_12_28 1200 22.56 2
1996_01_02 1200 21.85 2
1996_01_07 1200 21.66 2
1996_01_12 1200 22.27 2
1996_01_17 1200 23.37 2
1996_01_22 1200 23.83 2
1996_01_27 1200 23.88 2
1996_02_01 1200 23.36 2
1996_02_06 1200 23.92 2
1996_02_11 1200 25.15 2
1996_02_16 1200 25.02 2
1996_02_21 1200 25.32 2
1996_02_26 1200 25.12 2
1996_03_03 1200 25.66 2
1996_03_08 1200 26.94 2
1996_03_13 1200 26.64 2
1996_05_22 1200 24.02 2
1996_05_27 1200 23.55 2
1996_06_01 1200 24.12 2
1996_06_06 1200 23.91 2
1996_06_11 1200 23.82 2
1996_06_16 1200 25.15 2
1996_06_21 1200 24.26 2
1996_06_26 1200 23.76 2
1996_07_01 1200 23.06 2
1996_07_06 1200 23.45 2
1996_07_11 1200 23.19 2
1996_07_16 1200 23.3 2
1996_07_21 1200 22.17 2
1996_07_26 1200 22.71 2
1996_07_31 1200 22.87 2
1996_08_05 1200 22.62 2
1996_08_10 1200 22.56 2
1996_08_15 1200 22.04 2
1996_08_20 1200 21.99 2
1996_08_25 1200 21.6 2
1996_08_30 1200 21.1 2
1996_09_04 1200 21.43 2
1996_09_09 1200 22.09 2
1996_09_14 1200 23 2
1996_09_19 1200 21.29 2
1996_09_24 1200 21.55 2
1996_09_29 1200 24 2
1996_10_04 1200 24 2
1996_10_09 1200 21.95 2
1996_10_14 1200 21.37 2
1996_10_19 1200 20.66 2
1996_10_24 1200 20.7 2
1996_10_29 1200 21.2 2
1996_11_03 1200 21.45 2
1996_11_08 1200 21.89 2
1996_11_13 1200 23.32 2
1996_11_18 1200 22.36 2
1996_11_23 1200 21.51 2
1996_11_28 1200 21.46 2
1996_12_03 1200 21.47 2
1996_12_08 1200 21.37 2
1996_12_13 1200 21.04 2
1996_12_18 1200 21.45 2
1996_12_23 1200 21.3 2
1996_12_28 1200 22.23 2
1997_01_02 1200 22.59 2
1997_01_07 1200 22.47 2
1997_01_12 1200 22.8 2
1997_01_17 1200 23.31 2
1997_01_22 1200 23.81 2
1997_01_27 1200 25.28 2
1997_02_01 1200 24.58 2
1997_02_06 1200 23.82 2
1997_02_11 1200 24.34 2
1997_02_16 1200 24.96 2
1997_02_21 1200 25.61 2
1997_02_26 1200 25.71 2
1997_03_03 1200 26.35 2
1997_03_08 1200 26.39 2
1997_03_13 1200 26.14 2
1997_03_18 1200 26.4 2
1997_03_23 1200 27.37 2
1997_03_28 1200 27.28 2
1997_04_02 1200 27.58 2
1997_04_07 1200 26.28 2
1997_04_12 1200 25.59 2
1997_04_17 1200 26.62 2
1997_04_22 1200 26.83 2
1997_04_27 1200 27.36 2
1997_05_02 1200 28.65 2
1997_05_07 1200 27.79 2
1997_05_12 1200 27.25 2
1997_05_17 1200 27.06 2
1997_05_22 1200 27.14 2
1997_05_27 1200 27.18 2
1997_06_01 1200 26.91 2
1997_06_06 1200 26.98 2
1997_06_11 1200 27.12 2
1997_06_16 1200 27.19 2
1997_06_21 1200 27.09 2
1997_06_26 1200 27.3 2
1997_07_01 1200 27.48 2
1997_07_06 1200 27.4 2
1997_07_11 1200 27.8 2
1997_07_16 1200 27.67 2
1997_07_21 1200 27.18 2
1997_07_26 1200 27.29 2
1997_07_31 1200 27.5 2
1997_08_05 1200 27.28 2
1997_08_10 1200 27.43 2
1997_08_15 1200 27.85 2
1997_08_20 1200 26.63 2
1997_08_25 1200 26.6 2
1997_08_30 1200 26.61 2
1997_09_04 1200 28.01 2
1997_09_09 1200 27.19 2
1997_09_14 1200 26.53 2
1997_09_19 1200 27.37 2
1997_09_24 1200 27.42 2
1997_09_29 1200 27.07 2
1997_10_04 1200 27.55 2
1997_10_09 1200 27.75 2
1997_10_14 1200 27.55 2
1997_10_19 1200 27.86 2
1997_10_24 1200 27.87 2
1997_10_29 1200 27.78 2
1997_11_03 1200 27.6 2
1997_11_08 1200 27.99 2
1997_11_13 1200 28.21 2
1997_11_18 1200 28.38 2
1997_11_23 1200 28.09 2
1997_11_28 1200 28.17 2
1997_12_03 1200 28.25 2
1997_12_08 1200 28.24 2
1997_12_13 1200 28.52 2
1997_12_18 1200 28.66 2
1997_12_23 1200 28.74 2
1997_12_28 1200 28.89 2
1998_01_02 1200 28.61 2
1998_01_07 1200 28.8 2
1998_01_12 1200 28.82 2
1998_01_17 1200 28.76 2
1998_01_22 1200 28.96 2
1998_01_27 1200 29.26 2
1998_02_01 1200 29.49 2
1998_02_06 1200 29.04 2
1998_02_11 1200 29.02 2
1998_02_16 1200 29.47 2
1998_02_21 1200 29.14 2
1998_02_26 1200 29.55 2
1998_03_03 1200 29.71 2
1998_03_08 1200 29.64 2
1998_03_13 1200 29.78 2
1998_03_18 1200 29.45 2
1998_03_23 1200 29.54 2
1998_03_28 1200 29.61 2
1998_04_02 1200 29.87 2
1998_04_07 1200 29.66 2
1998_04_12 1200 29.89 2
1998_04_17 1200 29.75 2
1998_04_22 1200 28.99 2
1998_04_27 1200 29.27 2
1998_05_02 1200 29.6 2
1998_10_29 1200 21.19 2
1998_11_03 1200 21.21 2
1998_11_08 1200 20.42 2
1998_11_13 1200 20.31 2
1998_11_18 1200 19.87 2
1998_11_23 1200 20.35 2
1998_11_28 1200 20.18 2
1998_12_03 1200 18.3 2
1998_12_08 1200 19.23 2
1998_12_13 1200 20.71 2
1998_12_18 1200 20.74 2
1998_12_23 1200 21.14 2
1998_12_28 1200 20.78 2
1999_01_02 1200 21.35 2
1999_01_07 1200 21.41 2
1999_01_12 1200 19.99 2
1999_01_17 1200 20.49 2
1999_01_22 1200 21.31 2
1999_01_27 1200 22.39 2
1999_02_01 1200 23.62 2
1999_02_06 1200 24.54 2
1999_02_11 1200 23.55 2
1999_02_16 1200 24.67 2
1999_02_21 1200 27.3 2
1999_02_26 1200 27.68 2
1999_03_03 1200 26.99 2
1999_03_08 1200 26.09 2
1999_03_13 1200 25.61 2
1999_03_18 1200 26.09 2
1999_03_23 1200 25.2 2
1999_03_28 1200 24.58 2
1999_04_02 1200 24.97 2
1999_04_07 1200 24.44 2
1999_04_12 1200 24.29 2
1999_04_17 1200 24.95 2
1999_04_22 1200 25.81 2
1999_04_27 1200 26.61 2
1999_05_02 1200 25.88 2
1999_05_07 1200 25.03 2
1999_05_12 1200 25.78 2
1999_05_17 1200 24.7 2
1999_05_22 1200 23.66 2
1999_05_27 1200 23.97 2
1999_06_01 1200 23.8 2
1999_06_06 1200 23.48 2
1999_06_11 1200 23.63 2
1999_06_16 1200 23.15 2
1999_06_21 1200 24.47 2
1999_06_26 1200 23.14 2
1999_07_01 1200 23.97 2
1999_07_06 1200 21.97 2
1999_07_11 1200 22.85 2
1999_07_16 1200 24.12 2
1999_07_21 1200 22.79 2
1999_07_26 1200 21.81 2
1999_07_31 1200 22.02 2
1999_08_05 1200 22.42 2
1999_08_10 1200 23.88 2
1999_08_15 1200 22.15 2
1999_08_20 1200 21.77 2
1999_08_25 1200 21.03 2
1999_08_30 1200 20.04 2
1999_09_04 1200 21.29 2
1999_09_09 1200 20.06 2
1999_09_14 1200 19.89 2
1999_09_19 1200 20.17 2
1999_09_24 1200 20.63 2
1999_09_29 1200 21.77 2
1999_10_04 1200 20.1 2
1999_10_09 1200 20.39 2
1999_10_14 1200 20.98 2
1999_10_19 1200 21.24 2
1999_10_24 1200 20.66 2
1999_10_29 1200 21.33 2
1999_11_03 1200 20.7 2
1999_11_08 1200 21.59 2
1999_11_13 1200 21.67 2
1999_11_18 1200 20.17 2
1999_11_23 1200 19.81 2
1999_11_28 1200 19.52 2
1999_12_03 1200 20.21 2
1999_12_08 1200 20.79 2
1999_12_13 1200 20.29 2
1999_12_18 1200 21.3 2
1999_12_23 1200 20.83 2
1999_12_28 1200 20.67 2
2000_01_02 1200 20.88 2
2000_01_07 1200 21.4 2
2000_01_12 1200 21.91 2
2000_01_17 1200 22.55 2
2000_01_22 1200 22.26 2
2000_01_27 1200 23.45 2
2000_02_01 1200 25.12 2
2000_02_06 1200 25.3 2
2000_02_11 1200 24.47 2
2000_02_16 1200 23.73 2
2000_02_21 1200 23.39 2
2000_02_26 1200 24.16 2
2000_03_03 1200 24.57 2
2000_03_08 1200 25.42 2
2000_03_13 1200 25.86 2
2000_03_18 1200 25.66 2
2000_03_23 1200 26.41 2
2000_03_28 1200 27.21 2
2000_04_02 1200 27.71 2
2000_04_07 1200 26.43 2
2000_04_12 1200 26.49 2
2000_04_17 1200 26.59 2
2000_04_22 1200 26.46 2
2000_04_27 1200 25.94 2
2000_05_02 1200 26.19 2
2000_05_07 1200 25.63 2
2000_05_12 1200 25.3 2
2000_05_17 1200 24.83 2
2000_05_22 1200 24.43 2
2000_05_27 1200 24.39 2
2000_06_01 1200 24.38 2
2000_06_06 1200 23.97 2
2000_06_11 1200 23.85 2
2000_06_16 1200 23.76 2
2000_06_21 1200 23.55 2
2000_06_26 1200 24.03 2
2000_07_01 1200 25.68 2
2000_07_06 1200 26.31 2
2000_07_11 1200 23.3 2
2000_07_16 1200 23.35 2
2000_07_21 1200 23.67 2
2000_07_26 1200 24.97 2
2000_07_31 1200 22.53 2
2000_08_05 1200 22.39 1
2000_08_10 1200 21.48 2
2000_08_15 1200 20.97 2
2000_08_20 1200 21.64 2
2000_08_25 1200 23.28 2
2000_08_30 1200 21.88 2
2000_09_04 1200 21.74 2
2000_09_09 1200 22.1 2
2000_09_14 1200 23.47 2
2000_09_19 1200 22.67 2
2000_09_24 1200 22.06 2
2000_09_29 1200 22.08 2
2000_10_04 1200 22.02 2
2000_10_09 1200 22.86 2
2000_10_14 1200 21.33 2
2000_10_19 1200 21.8 2
2000_10_24 1200 22.58 2
2000_10_29 1200 22.36 2
2000_11_03 1200 21.87 2
2000_11_08 1200 21.92 2
2000_11_13 1200 21.89 2
2000_11_18 1200 20.94 2
2000_11_23 1200 21.34 2
2000_11_28 1200 21.7 2
2000_12_03 1200 21.25 2
2000_12_08 1200 20.87 2
2000_12_13 1200 21.58 2
2000_12_18 1200 21.75 2
2000_12_23 1200 22.32 2
2000_12_28 1200 22.39 2
2001_01_02 1200 22.67 2
2001_01_07 1200 22.41 2
2001_01_12 1200 22.72 2
2001_01_17 1200 22.96 2
2001_01_22 1200 23.68 2
2001_01_27 1200 23.5 2
2001_02_01 1200 24.19 2
2001_02_06 1200 24.57 2
2001_02_11 1200 24.88 2
2001_02_16 1200 24.98 2
2001_02_21 1200 25.72 2
2001_02_26 1200 26.01 2
2001_03_03 1200 27 2
2001_03_08 1200 27.43 2
2001_03_13 1200 26.23 2
2001_03_18 1200 26.71 2
2001_03_23 1200 27.21 2
2001_03_28 1200 27.93 2
2001_04_02 1200 27.21 2
2001_04_07 1200 26.17 2
2001_04_12 1200 27.2 2
2001_04_17 1200 26.93 2
2001_04_22 1200 26 2
2001_04_27 1200 25.76 2
2001_05_02 1200 25.59 2
2001_05_07 1200 25.59 2
2001_05_12 1200 25.09 2
2001_05_17 1200 25.03 2
2001_05_22 1200 25.18 2
2001_05_27 1200 25.15 2
2001_06_01 1200 25.02 2
2001_06_06 1200 24.14 2
2001_06_11 1200 24.07 2
2001_06_16 1200 24.5 2
2001_06_21 1200 24.16 2
2001_06_26 1200 23.85 2
2001_07_01 1200 24.04 2
2001_07_06 1200 23.31 2
2001_07_11 1200 22.45 2
2001_07_16 1200 22.96 2
2001_07_21 1200 24.56 2
2001_07_26 1200 24.33 2
2001_07_31 1200 22.41 2
2001_08_05 1200 21.86 2
2001_08_10 1200 21.96 2
2001_08_15 1200 21.6 2
2001_08_20 1200 20.77 2
2001_08_25 1200 21.4 2
2001_08_30 1200 21.04 2
2001_09_04 1200 20.31 2
2001_09_09 1200 20.76 2
2001_09_14 1200 21.57 2
2001_09_19 1200 22.44 2
2001_09_24 1200 20.64 2
2001_09_29 1200 20.52 2
2001_10_04 1200 21.07 2
2001_10_09 1200 21.6 2
2001_10_14 1200 23.61 2
2001_10_19 1200 22.5 2
2001_10_24 1200 21.74 2
2001_10_29 1200 22.32 2
2001_11_03 1200 22.45 2
2001_11_08 1200 23.06 2
2001_11_13 1200 21.75 1
2001_11_18 1200 21.92 1
2001_11_23 1200 22.37 1
2001_11_28 1200 22.41 1
2001_12_03 1200 23.29 1
2001_12_08 1200 22.08 1
2001_12_13 1200 22.35 1
2001_12_18 1200 22.98 1
2001_12_23 1200 24.37 1
2001_12_28 1200 22.05 1
2002_01_02 1200 22.95 1
2002_01_07 1200 23.74 1
2002_01_12 1200 24.47 1
2002_01_17 1200 24.75 1
2002_01_22 1200 25.39 1
2002_01_27 1200 25.31 1
2002_02_01 1200 25.47 1
2002_02_06 1200 25.87 1
2002_02_11 1200 26.19 1
2002_02_16 1200 25.8 1
2002_02_21 1200 26.02 1
2002_02_26 1200 26.97 1
2002_03_03 1200 27.28 1
2002_03_08 1200 26.97 1
2002_03_13 1200 27.07 2
2002_03_18 1200 26.8 2
2002_03_23 1200 26.63 2
2002_03_28 1200 27.11 2
2002_04_02 1200 27.04 2
2002_04_07 1200 27.11 2
2002_04_12 1200 26.99 2
2002_04_17 1200 25.84 1
2002_04_22 1200 24.75 1
2002_04_27 1200 25.12 1
2002_05_02 1200 25.32 1
2002_05_07 1200 25.78 1
2002_05_12 1200 25.25 1
2002_05_17 1200 25.05 1
2002_05_22 1200 25.18 1
2002_05_27 1200 25.57 1
2002_06_01 1200 26.72 1
2002_06_06 1200 26.37 1
2002_06_11 1200 27.32 1
2002_06_16 1200 26.59 1
2002_06_21 1200 25.36 1
2002_06_26 1200 24.75 1
2002_07_01 1200 24.57 1
2002_07_06 1200 24.96 1
2002_07_11 1200 24.73 1
2002_07_16 1200 23.27 1
2002_07_21 1200 23.57 1
2002_07_26 1200 23.55 1
2002_07_31 1200 22.99 1
2002_08_05 1200 21.98 1
2002_08_10 1200 22.64 1
2002_08_15 1200 23.08 1
2002_08_20 1200 23.48 1
2002_08_25 1200 23.37 1
2002_08_30 1200 23.14 1
2002_09_04 1200 23.39 1
2002_09_09 1200 23.48 1
2002_09_14 1200 24.84 1
2002_09_19 1200 23.28 1
2002_09_24 1200 23.17 1
2002_09_29 1200 23.68 1
2002_10_04 1200 23.78 1
2002_10_09 1200 23.93 1
2002_10_14 1200 23.99 1
2002_10_19 1200 24.11 1
2002_10_24 1200 24.39 1
2002_10_29 1200 25.56 1
2002_11_03 1200 26.07 1
2002_11_08 1200 25.58 1
2002_11_13 1200 24.82 1
2002_11_18 1200 24.85 1
2002_11_23 1200 25.22 1
2002_11_28 1200 25.51 1
2002_12_03 1200 25.5 1
2002_12_08 1200 25.15 1
2002_12_13 1200 25.01 1
2002_12_18 1200 25.7 1
2002_12_23 1200 25.4 1
2002_12_28 1200 24.54 1
2003_01_02 1200 24.75 1
2003_01_07 1200 23.77 1
2003_01_12 1200 24.49 1
2003_01_17 1200 25.75 1
2003_01_22 1200 24.58 1
2003_01_27 1200 24.37 1
2003_02_01 1200 24.64 1
2003_02_06 1200 24.9 1
2003_02_11 1200 25.16 1
2003_02_16 1200 25.92 1
2003_02_21 1200 25.72 1
2003_02_26 1200 24.81 1
2003_03_03 1200 24.92 1
2003_03_08 1200 25.45 1
2003_03_13 1200 25.89 1
2003_03_18 1200 26.62 1
2003_03_23 1200 26.81 1
2003_03_28 1200 26.92 1
2003_04_02 1200 25.48 1
2003_04_07 1200 25.65 1
2003_04_12 1200 25.52 1
2003_04_17 1200 25.43 1
2003_04_22 1200 24.83 1
2003_04_27 1200 24.04 1
2003_05_02 1200 22.67 1
2003_05_07 1200 23.86 1
2003_05_12 1200 24.07 1
2003_05_17 1200 23.77 1
2003_05_22 1200 23.57 1
2003_05_27 1200 24.46 1
2003_06_01 1200 23.91 1
2003_06_06 1200 22.16 1
2003_06_11 1200 23.24 1
2003_06_16 1200 23.54 1
2003_06_21 1200 23.3 1
2003_06_26 1200 23.39 1
2003_07_01 1200 25.03 1
2003_07_06 1200 24.33 1
2003_07_11 1200 23.59 1
2003_07_16 1200 23.48 1
2003_07_21 1200 23.82 1
2003_07_26 1200 23.73 1
2003_07_31 1200 23.82 1
2003_08_05 1200 24.04 1
2003_08_10 1200 24.48 1
2003_08_15 1200 24.45 1
2003_11_13 1200 23.11 1
2003_11_18 1200 24.45 1
2003_11_23 1200 24.23 1
2003_11_28 1200 23.22 1
2003_12_03 1200 24.02 1
2003_12_08 1200 24.73 1
2003_12_13 1200 25.55 1
2003_12_18 1200 25.01 1
2003_12_23 1200 23.69 1
2003_12_28 1200 24.32 1
2004_01_02 1200 24.47 1
2004_01_07 1200 24.36 1
2004_01_12 1200 24.03 1
2004_01_17 1200 24.87 1
2004_01_22 1200 25.58 1
2004_01_27 1200 24.58 1
2004_02_01 1200 23.93 1
2004_02_06 1200 23.93 1
2004_02_11 1200 24.66 1
2004_02_16 1200 26.7 1
2004_02_21 1200 26.53 1
2004_02_26 1200 25.28 1
2004_03_03 1200 25.89 1
2004_03_08 1200 26.68 1
2004_03_13 1200 27.32 1
2004_03_18 1200 27.95 1
2004_03_23 1200 26.62 1
2004_03_28 1200 26.99 1
2004_04_02 1200 25.31 1
2004_04_07 1200 24.56 2
2004_04_12 1200 24.34 2
2004_04_17 1200 24.88 2
2004_04_22 1200 25.19 2
2004_04_27 1200 24.91 2
2004_05_02 1200 24.52 2
2004_05_07 1200 24.35 2
2004_05_12 1200 24.08 2
2004_05_17 1200 24.56 2
2004_05_22 1200 24.72 2
2004_05_27 1200 25.09 2
2004_06_01 1200 25.47 2
2004_06_06 1200 25.59 2
2004_06_11 1200 24.15 2
2004_06_16 1200 23.9 2
2004_06_21 1200 23.45 2
2004_06_26 1200 23.09 2
2004_07_01 1200 22.91 2
2004_07_06 1200 22.27 2
2004_07_11 1200 21.78 2
2004_07_16 1200 22.09 2
2004_07_21 1200 22.32 2
2004_07_26 1200 22.07 2
2004_07_31 1200 22.63 2
2004_08_05 1200 23.04 2
2004_08_10 1200 23.58 2
2004_08_15 1200 22.87 2
2004_08_20 1200 22.62 2
2004_08_25 1200 22.93 2
2004_08_30 1200 22.75 2
2004_09_04 1200 22.65 2
2004_09_09 1200 22.35 2
2004_09_14 1200 22.7 2
2004_09_19 1200 23.01 2
2004_09_24 1200 23 2
2004_09_29 1200 22.48 2
2004_10_04 1200 22.9 2
2004_10_09 1200 23.1 2
2004_10_14 1200 24.53 2
2004_10_19 1200 23.7 2
2004_10_24 1200 23.11 2
2004_10_29 1200 23.05 2
2004_11_03 1200 24.24 2
2004_11_08 1200 22.41 2
2004_11_13 1200 23.24 2
2005_02_06 1200 25.34 2
2005_02_11 1200 25.67 2
2005_02_16 1200 24.87 2
2005_02_21 1200 24.58 2
2005_02_26 1200 23.66 2
2005_03_03 1200 24.29 2
2005_03_08 1200 26.67 2
2005_03_13 1200 26.13 2
2005_03_18 1200 25.66 2
2005_03_23 1200 25.45 2
2005_03_28 1200 25.62 2
2005_04_02 1200 26.14 2
2005_04_07 1200 -9.99 0
2005_04_12 1200 -9.99 0
2005_04_17 1200 27.58 2
2005_04_22 1200 27.27 2
2005_04_27 1200 27.16 2
2005_05_02 1200 27.59 2
2005_05_07 1200 27.05 2
2005_05_12 1200 26.4 2
2005_05_17 1200 25.83 2
2005_05_22 1200 25.11 2
2005_05_27 1200 24.47 2
2005_06_01 1200 23.5 2
2005_06_06 1200 23.82 2
2005_06_11 1200 23.65 2
2005_06_16 1200 23.99 2
2005_06_21 1200 24.71 2
2005_06_26 1200 25.05 2
2005_07_01 1200 24.89 2
2005_07_06 1200 24.25 2
2005_07_11 1200 24.31 2
2005_07_16 1200 23.75 2
2005_07_21 1200 23.7 2
2005_07_26 1200 23.04 2
2005_07_31 1200 22.73 2
2005_08_05 1200 22.22 2
2005_08_10 1200 22.96 2
2005_08_15 1200 22.79 2
2005_08_20 1200 21.58 2
2005_08_25 1200 23.06 2
2005_08_30 1200 22.57 2
2005_09_04 1200 21.25 2
2005_09_09 1200 21.55 2
2005_09_14 1200 21.4 2
2005_09_19 1200 21.99 2
2005_09_24 1200 23.1 2
2005_09_29 1200 21.4 2
2005_10_04 1200 22.29 2
2005_11_18 1200 21.71 1
2005_11_23 1200 22.86 1
2005_11_28 1200 21.62 1
2005_12_03 1200 21.66 1
2005_12_08 1200 22.18 1
2005_12_13 1200 20.99 1
2005_12_18 1200 21.87 1
2005_12_23 1200 22.95 1
2005_12_28 1200 23.99 1
2006_01_02 1200 22.96 1
2006_01_07 1200 23.18 1
2006_01_12 1200 23.34 1
2006_01_17 1200 23.75 1
2006_01_22 1200 23.9 1
2006_01_27 1200 24.29 1
2006_02_01 1200 24.65 1
2006_02_06 1200 24.84 1
2006_02_11 1200 26.07 1
2006_02_16 1200 26.95 1
2006_02_21 1200 25.7 1
2006_02_26 1200 24.25 1
2006_03_03 1200 24.98 1
2006_03_08 1200 25.46 1
2006_03_13 1200 24.8 1
2006_03_18 1200 25.1 1
2006_03_23 1200 24.71 1
2006_03_28 1200 24 1
2006_04_02 1200 24.63 1
2006_04_07 1200 26.28 1
2006_04_12 1200 26.93 1
2006_04_17 1200 25.78 1
2006_04_22 1200 25.47 1
2006_04_27 1200 26.07 1
2006_05_02 1200 26 1
2006_05_07 1200 26.04 1
2006_05_12 1200 25.28 1
2006_05_17 1200 25.14 1
2006_05_22 1200 25.47 1
2006_05_27 1200 25.35 1
2006_06_01 1200 25.11 1
2006_06_06 1200 24.36 1
2006_06_11 1200 24.09 1
2006_06_16 1200 24.18 1
2006_06_21 1200 24.22 1
2006_06_26 1200 24.2 1
2006_07_01 1200 23.94 1
2006_07_06 1200 24.19 1
2006_07_11 1200 24.69 1
2006_07_16 1200 26.11 1
2006_07_21 1200 23.51 1
2006_07_26 1200 23.82 1
2006_07_31 1200 23.52 1
2006_08_05 1200 23.72 1
2006_08_10 1200 22.51 1
2006_08_15 1200 23.43 1
2006_08_20 1200 24.78 1
2006_08_25 1200 24.43 1
2006_08_30 1200 23.84 1
2006_09_04 1200 23.58 1
2006_09_09 1200 23.58 1
2006_09_14 1200 23.68 1
2006_09_19 1200 24.78 1
2006_09_24 1200 25.01 1
2006_09_29 1200 25.43 1
2006_10_04 1200 24.37 1
2006_10_09 1200 24.03 1
2006_10_14 1200 24.82 1
2006_10_19 1200 25.64 1
2006_10_24 1200 24.9 1
2006_10_29 1200 23.95 1
2006_11_03 1200 23.72 1
2006_11_08 1200 23.16 1
2006_11_13 1200 23.27 1
2006_11_18 1200 23.67 1
2006_11_23 1200 24.17 4
2006_11_28 1200 24.6 4
2006_12_03 1200 25.71 4
2006_12_08 1200 26.09 4
2006_12_13 1200 25.63 4
2006_12_18 1200 24.62 4
2006_12_23 1200 25.19 4
2006_12_28 1200 25.46 4
2007_01_02 1200 25.76 4
2007_01_07 1200 25.41 4
2007_01_12 1200 25.44 4
2007_01_17 1200 25.81 4
2007_01_22 1200 25.52 4
2007_01_27 1200 26.03 4
2007_02_01 1200 25.74 4
2007_02_06 1200 25.39 4
2007_02_11 1200 25.11 4
2007_02_16 1200 24.56 4
2007_02_21 1200 24.56 4
2007_02_26 1200 24.74 4
2007_03_03 1200 23.11 4
2007_03_08 1200 25.09 4
2007_03_13 1200 26.56 4
2007_03_18 1200 25.13 4
2007_03_23 1200 24.55 4
2007_03_28 1200 23.83 4
2007_04_02 1200 23.98 4
2007_04_07 1200 24.77 4
2007_04_12 1200 25.89 4
2007_04_17 1200 25.22 2
2007_04_22 1200 25.63 2
2007_04_27 1200 25.77 2
2007_05_02 1200 24.85 2
2007_05_07 1200 24.2 2
2007_05_12 1200 23.63 2
2007_05_17 1200 24.32 2
2007_05_22 1200 24.61 2
