Stock,Gear Type,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Atlantic bluefin tuna in the East Atlantic and Mediterranean Sea,Mechanized lines and pole-and-lines,1499,1222,885,1882,3961,2282,1414,1821,1936,1971,1718,1593,1299,3495,1979,2808,4990,3525,2561,1496,1821,2275,2568,1379,1808,139,1115,2032,1795,1259,724
Atlantic bluefin tuna in the East Atlantic and Mediterranean Sea,Purse seines,8978,8795,12786,10746,10261,11305,9609,8857,11198,9450,11184,13197,17952,19040,25770,23622,26344,25006,21983,15636,17341,17325,18541,17551,19748,23344,20353,22951,12641,11345,4986
Atlantic bluefin tuna in the East Atlantic and Mediterranean Sea,Trolling lines,526,362,164,1291,722,471,915,311,746,713,300,204,277,555,318,507,373,380,235,102,194,151,80,39,112,0,125,0,1,0,0
Atlantic bluefin tuna in the West Atlantic,Gear not known,1071,982,850,1329,1056,1063,684,899,1040,1556,1542,1661,1096,1289,1190,1570,1555,1547,1521,1448,1420,1873,2170,1622,1267,1021,1093,1090,1235,1394,1154
Atlantic bluefin tuna in the West Atlantic,Longlines (nei),3973,3879,363,829,832,1245,1278,1237,1475,818,854,1023,885,784,621,604,714,537,887,1074,1080,715,941,418,825,556,715,519,765,573,678
Atlantic bluefin tuna in the West Atlantic,Mechanized lines and pole-and-lines,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1884,0,0,0,0,0
Atlantic bluefin tuna in the West Atlantic,Purse seines,758,910,232,384,401,377,360,367,383,385,384,237,300,295,301,249,245,250,249,248,275,196,208,265,32,178,4,28,0,11,0
Atlantic bluefin tuna in the West Atlantic,Trolling lines,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,0,0,0,0,0
Bigeye tuna Eastern Pacific,Gear not known,130,6,4,37,11,14,74,48,15,0,58,24,13,35,806,1368,747,20,628,538,264,22,19,39,207,24,40,44,28,15,2
Bigeye tuna Eastern Pacific,Longlines (nei),64335,53416,53365,60043,46394,66325,102425,100121,72758,70963,98871,104195,84808,72498,71360,58269,46958,52580,46375,36450,47594,68752,74417,59758,43470,41432,33708,29928,26152,31356,36146
Bigeye tuna Eastern Pacific,Mechanized lines and pole-and-lines,0,0,42,39,2,2,0,0,5,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bigeye tuna Eastern Pacific,Purse seines,21938,14921,6939,4575,8861,6056,2686,1177,1535,2030,5921,4870,7179,9657,34899,45321,61311,64272,44129,51158,95283,60518,57422,53051,65471,67895,83837,63451,75028,76800,57753
Bigeye tuna in the Atlantic,Gear not known,366,365,238,85,244,415,533,586,461,625,285,430,591,642,945,549,353,531,404,1337,1082,1524,1100,1318,1245,628,544,434,222,270,446
Bigeye tuna in the Atlantic,Longlines (nei),41677,41608,51805,33757,43303,52595,39942,35570,47766,58389,56537,61556,62403,62871,78933,74851,74930,68310,71857,76527,71189,55262,46438,54466,48392,38031,34179,46221,41049,43518,42619
Bigeye tuna in the Atlantic,Mechanized lines and pole-and-lines,12349,10124,6950,9853,11439,17651,15618,13458,9710,12672,18280,17750,16248,16467,20361,25577,19059,21037,21377,25867,12632,15841,8757,13569,18939,15007,14672,15432,12358,14940,8969
Bigeye tuna in the Atlantic,Purse seines,9204,15772,14600,15830,16103,7580,9336,7487,8198,6671,9791,16332,20116,32581,33355,25781,27342,19405,16771,24532,18598,21556,20895,22731,18418,18590,16481,17554,15696,23068,23769
Bigeye tuna in the Atlantic,Trolling lines,0,0,52,78,2,0,16,40,13,18,7,6,16,9,34,18,4,4,28,39,142,103,38,21,54,88,5,13,3,4,13
Bigeye tuna in the Western and Central Pacific,Gear not known,4565,5298,4875,5320,5593,6725,6949,5852,6838,7572,8037,8965,5821,5067,7522,7939,8446,6711,7756,7802,7986,7111,7331,7766,6357,4975,5381,5339,3544,4041,2986
Bigeye tuna in the Western and Central Pacific,Longlines (nei),61857,45823,47886,45270,51889,57501,55804,68042,67250,63316,75141,59237,73873,64553,76851,65649,54027,65656,81123,71286,70574,73938,89177,78914,91051,72309,74662,73009,77549,70795,64117
Bigeye tuna in the Western and Central Pacific,Mechanized lines and pole-and-lines,2278,2596,4108,4055,3465,4326,2865,3134,4125,4298,3918,1991,1757,2331,2951,3776,3864,3611,2446,2176,5648,4274,4242,2869,5590,4018,6679,4194,4642,3390,4054
Bigeye tuna in the Western and Central Pacific,Purse seines,4248,9970,16281,26676,26538,23718,27221,31910,32814,34834,44627,45930,51966,38781,43498,40738,55490,100316,66363,65248,71492,57115,59249,40771,70228,70530,69152,51482,55917,69082,54356
Bigeye tuna in the Western and Central Pacific,Trolling lines,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,432,412,507,316,397,408,713,142,232,220,157,187,212,175,244
