Albacore tuna Global,Portugal,Trolling lines,0,-,38,,31,,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-
Albacore tuna Global,Senegal,Longlines (nei),0,-,0,-,0,-,0,-,0,-,0,-,67,,0,-,0,-,0,-,0,-
Albacore tuna Global,South Africa,Gear not known,60,,386,,325,,82,,298,,288,,324,,1696,,1033,,101,,94,
Albacore tuna Global,South Africa,Longlines (nei),105,,158,,211,,133,,61,,59,,109,,92,,135,,149,,101,
Albacore tuna Global,South Africa,Mechanized lines and pole-and-lines,3463,,6715,,6057,,3323,,4153,,2856,,3365,,2024,,2334,,4822,,3975,
Albacore tuna Global,Spain,Gear not known,13,,12,,26,,0,-,29,,40,,60,,94,,31,,0,-,0,-
Albacore tuna Global,Spain,Longlines (nei),669,,849,,1371,,250,,272,,1447,,1361,,1921,,1489,,1929,,1127,
Albacore tuna Global,Spain,Mechanized lines and pole-and-lines,10862,,5006,,4741,,7324,,7893,,10067,,14181,,8376,,7403,,4939,,5840,
Albacore tuna Global,Spain,Purse seines,417,,341,,223,,713,,76,,72,,447,,246,,324,,116,,158,
Albacore tuna Global,Spain,Trolling lines,5013,,4245,,4093,,5193,,7477,,10165,,10277,,6089,,5233,,4437,,7009,
Albacore tuna Global,Taiwan Province of China,Longlines (nei),61358,,64896,,64348,,57471,,48312,,39335,,38957,,44118,,37289,,39279,,47179,
Albacore tuna Global,United Kingdom,Gear not known,14,,0,-,0,-,0,-,0,-,5,,8,,21,,50,,65,,96,
Albacore tuna Global,United Kingdom,Longlines (nei),0,-,0,-,0,-,0,-,0,-,3,,16,,22,,10,,11,,26,
Albacore tuna Global,United States of America,Gear not known,2116,,1858,,2721,,2584,,2050,,2117,,645,,753,,475,,379,,502,
Albacore tuna Global,United States of America,Longlines (nei),1715,,4720,,6630,,4563,,2939,,3341,,4452,,5559,,4029,,4244,,4530,
Albacore tuna Global,United States of America,Mechanized lines and pole-and-lines,69,,139,,378,,59,,125,,66,,23,,21,,6,,2218,,6,
Albacore tuna Global,United States of America,Purse seines,4,,51,,3,,3,,1,,2,,0,-,0,-,0,-,0,-,0,-
Albacore tuna Global,United States of America,Trolling lines,12078,,13317,,11724,,15676,,14392,,8902,,13109,,12159,,10840,,10812,,10437,
Albacore tuna Global,Viet Nam,Longlines (nei),0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,4,
Atlantic bluefin tuna Global,Algeria,Gear not known,852,,986,,602,,1586,,288,,195,,100,,107,,888,,0,-,0,-
Atlantic bluefin tuna Global,Algeria,Longlines (nei),700,,109,,186,,0,-,167,,712,,88,,754,,339,,0,-,0,-
Atlantic bluefin tuna Global,Algeria,Purse seines,778,,917,,922,,0,-,753,,623,,850,,650,,84,,0,-,0,-
Atlantic bluefin tuna Global,Canada,Gear not known,548,,517,,588,,543,,509,,563,,687,,433,,546,,468,,440,
Atlantic bluefin tuna Global,Canada,Longlines (nei),47,,20,,53,,28,,43,,36,,48,,58,,30,,65,,90,
Atlantic bluefin tuna Global,China,Longlines (nei),80,,68,,39,,19,,41,,24,,42,,72,,119,,42,,38,
Atlantic bluefin tuna Global,France,Gear not known,465,,572,,627,,828,,421,,1127,,1146,,1115,,319,,464,,353,
